Geograph,Name,_Section,Height (m),Grid Ref,GridRefXY,xcoord,ycoord
http://www.geograph.org.uk/gridref/NN1561894267,Geal Charn,10.3,804,NN156942,NN1561894267,215618,794267
http://www.geograph.org.uk/gridref/NH2453407847,Meall Dubh,10.3,789,NH245078,NH2453407847,224534,807847
http://www.geograph.org.uk/gridref/NM9466086376,Streap,10.4,909,NM946863,NM9466086376,194660,786376
http://www.geograph.org.uk/gridref/NM9293083547,Beinn an Tuim,10.4,810,NM929835,NM9293083547,192930,783547
http://www.geograph.org.uk/gridref/NM8890393060,Bidein a'Chabair,10.4,867,NM889930,NM8890393060,188903,793060
http://www.geograph.org.uk/gridref/NM9030590943,Carn Mor,10.4,829,NM903909,NM9030590943,190305,790943
http://www.geograph.org.uk/gridref/NM8850283974,Sgurr an Utha,10.4,796,NM885839,NM8850283974,188502,783974
http://www.geograph.org.uk/gridref/NN1406085714,Beinn Bhan,10.4,796,NN140857,NN1406085714,214060,785714
http://www.geograph.org.uk/gridref/NN0293885419,Meall a'Phubuill,10.4,774,NN029854,NN0293885419,202938,785419
http://www.geograph.org.uk/gridref/NM9753286667,Braigh nan Uamhachan,10.4,765,NM975866,NM9753286667,197532,786667
http://www.geograph.org.uk/gridref/NG9404522715,Sgurr an Airgid,11.1,841,NG940227,NG9404522715,194045,822715
http://www.geograph.org.uk/gridref/NH0358821875,Sgurr Gaorsaic,11.1,839,NH035218,NH0358821875,203588,821875
http://www.geograph.org.uk/gridref/NH0733514340,Am Bathach,11.1,798,NH073143,NH0733514340,207335,814340
http://www.geograph.org.uk/gridref/NH1732218022,Aonach Shasuinn,11.2,888,NH173180,NH1732218022,217322,818022
http://www.geograph.org.uk/gridref/NH1368518878,Carn a'Choire Ghairbh,11.2,865,NH136188,NH1368518878,213685,818878
http://www.geograph.org.uk/gridref/NH0872448063,Sgurr nan Ceannaichean,12.1,913.43,NH087480,NH0872448063,208724,848063
http://www.geograph.org.uk/gridref/NH2646655747,Sgurr a'Mhuilinn,12.1,879,NH264557,NH2646655747,226466,855747
